Text,Predicted Label,Probability,True Label,Example Text for True Label
Ang Mayo 8 ay ang ika-128 na araw sa Kalendaryong Gregorian  at mayroon pang 237 na araw ang natitira.,kmr,0.9946672,kur,"Piştî heyşt mehan  di civîna xwe ya sisiyan de ÎKS (Însiyatîfa Kurdên li Swêdê) wek avahiyeke siyasî hate avakirin. Di meseleya yekitiya  kurdan de ev ne gava pêşiye ku tê avêtin. Berî vê gavê jî gelek hewildayinên hevkarî û yekîtiyan hatibûn dayin  lê di encamê de bi ser neketibûn.     Di nav vê însiyatîfê de  bi pirayî ew kesên ku ji koka siyaseta rêxistinên Kurd tên û kadroyên siyasî yên xwedî tecrube nin. Gelekan ji wan salên xwe danin siyasetê. Ger ev kesan di karê ku danin ber xwe cidî bin  dikarin tesîreke baş li vê pêvajoyê bikin û dikare di sahneya siyaseta Kurd de bibin giraniyekê. Ger mirov li derbasbûyina wan binêre  gelekan  ji wan di derbasbûyina xwe ya siyasî de pir kirinin  lê hindik afirandinin. Ev yeka han jî di siyasetê de hêviyeke xurt na de mirov.    Ger ev gav di peyvê de nemîne û di emel de gavên ber bi çav bên avêtin  şansa wê ya ku bikaribe bibe hêzeke bitesîr  heye. Ger di peyvê de û di çerçeweya civînan de bimîne û di van civînan de hin kes vê zemînê ji xwe re bikin sehaya xwe deşarzkirinê  ew ê ev gav jî wek wan gavên berê nîvqurmiçî bimîne û Kurd careke din jî di warê yekîtî û hevkariyan de  dê di  sinifê de dimînin. Heta civîneke din  -ger hin kes ne bi dilê mirov be jî- komîteyeke bi minet û rica hate hilbijartin. Ger di civîna pêş de ev kes û endamên vê însiyatîfê xwe ji hin tiştan re amade bikin û xwe ji hin qaliban xelas bikin dê bikaribin hêviyê bide. Divê endam û rêvebirên vê însiyatîfê ji bo xatir û ricayê Wezîfeyê wernegirin. Ger di civînên pêş de jî ev awayê ku bi zixt û zordayina hin kesan  an jî ji bo xatirê hin kesan Wezîfe bê wergirtin  ew ê ev mesele negêje derekê.    Biserketin û  nebiserketina karên siyasî di pêvajoya civîn û hibijartina   organan de diyar dibe. Mirov di jiyana xwe ya siyasî de bûye şahidê van tiştan. Ger civîneke siyasî an rêxistinî çê dibe  ji serî heta binî rexne  kêmanî  û tewanbarî yên bêqiyas tên kirin. Bi seetan li ser meseleyan tê rawestandin û bi dehan pêþniyar tên kirin. Gelek caran ji ber hin kesan mirov mejbûr dibe ku ji wan civînan bireve. Gava civîn tê ser xala rojevê ya hilbijartina organan  wê gavê her tişt eşkere dibe. Ew kesên ku mirov ji ber  wan paçan dike guhên xwe  ew xwe li tiştekî nakin xwedî û nabin talibê tu Wezîfeyan. Hin ji wan di minaqaşeyên li ser vê xalê de  ji civînan difiskirînin.     Di civînên ku heta nuha min dîtinin de  ji xêndî îstisnayan  min nedîtiye ku kes bûye talibê Wezîfeyê. Kesî xwe pêşniyarî komîteyan nekiriye. Her gav hin kes ji bo hin kesên din pêşniyaran dikin û di encamê de jî ew ê tên pêşniyar kirin bi minet û rica wazifeyan qebûl dikin. Gava di wê Wezîfeya ku wergirtiye de bi ser nakevin  dibêjin  ""Ji  xwe min nedixwest ez vî karî bikim. Min ji ber filan kes an bêvan kes nekir der"". Ji ber vê rewşê jî gelekan ji xwe re kirinin adet û qilifê ku di pêş de bisernekevin hazir dikin û gava tên pêşniyar kirin  teva ku dilê wan heye jî  bi zaneyî xwe delalî dikin. Ji ber ku wan rêya xwe fahm kirinin. Çawa be hin kes dê wan pêşniyar bikin û ew ê li ber wan bigerin.    Karê siyasî ji bo xatir û minetê nayê kirin. Ew kesên ku ew karên pê re radibin  divê ji riza dilê xwe bikin û ew bi xwe bibe talibê  Wezîfeyan da ku bikaribe ji xelkê jî Wezîfeyan bixwazin. Bê diyar kirin ku ew karê pê re rabûye  ew bi xwe çiqasî baweriyê pê tîne. Ger mirov ji wî karê ku dike ne bawer û ne îqna be  mirov çawa dikare hin kesên din îqna bike? Ger di civîneke din de li gorî îhtiyacên komîteya dê bê hibijartin  însanên ji rizaye dilê xwe  xwe li wazifeyê rakişanînin  wê gavê hêvî û baweriyên mirov dikare xurttir bibe. Mirov dikare bibe yek ji wan kesên aqtîf ê vê prosesê."
Warga orang Israel bangun pagi-pagi dan berkhemah mengepung Gibea.,ayr,0.99359703,aym,Bactrocera abbreviata ch'iwi (Insecta)  orden chhichhillanka (Diptera).
Aşadar  eşti un bun ţintaş  Hagman?,est,0.99282736,ekk,Järves on kaks saart  kokku pindala 0 08 ha.
Rubén Darío - Cantos de vida y esperanza,pes,0.99274385,glk,تو برف امروز وقتی رسیدیم، بعد نیم ساعت فهمیدیم گروه شادی نمیان!
Pathian teal ahi  Babylon khua ah om na pawlpipui ii hong paupui bangma in ka tapa Mark zongh in hong paupui hi.,tir,0.99226165,amh,የመጀመርያው ሥዕል ዐፄ ኃይለ ሥላሴ ሕመምተኞችን ሲጎበኙ የሚያሳይ ሲሆን ሁለተኛው ሥዕል ደግሞ ሆስፒታሉ ሲከፈት፣ ከሆስፒታሉ በላይ ክንፉ አረንጓዴ ቢጫ ቀይ የሆነ መልአክ፤ በመካከል ላይም ዐፄ ኃይለ ሥላሴ የሆስፒታሉን መከፈት ሲያበሥሩ፤ ሕዝቡም ለሕክምና ወደ ሆስፒታሉ ሲሄድ የሚያሳይ ነው፡፡
Yinseng merekacipta satu sut perisai keluli lengkap bersenjata serta ditenagai reaktor arka mini bagi membolehkan mereka melarikan diri.,zlm,0.99206114,zsm,Itu baru Hazwin  kalau Linda bagaimana?
26 Şubat 1969 tarihinde Levi Eshkol'un ölümünün ardından başbakan seçilmiştir.,roh,0.9916375,lmo,Ul sindigh al é Jean-Marc Wacq  con mandat 2001-2008.
það fær vitneskju um að veruleg frávik séu frá því að gjaldþolskröfu vátryggingasamstæðu sé fullnægt óháð því hvaða aðferð er notuð við matið  c.,vec,0.9913521,cos,MARA – E  allura  ci dicu n’autra cosa  tantu ppi mettiri tuttu in chiaru: Sarina  allamorti di so’ maritu  non havi mancu l’obbligu di purtaricci ‘u luttu. Però  siccomu semu cristiani e canuscemu i nostri duviri  ppi tri misi ‘a fazzu vestiri di nìuru; ma sulu ppi tri misi  macari si ‘u mortu s’arrivota intra ‘a tomba.
Osorou ku pama osonong no do misugku kito mirikau.,pag,0.99086165,pam,Pangeran Djakalan  kang sinebat  Pangeran Sedanglaoetan  kang sirane hing Moendoe lan Iboeneki  Rarapi pon ning  kana  boja wonten tadakaning woeri  doepi kang mrenah hing tedakanira  poenika kang mijos  saking Padjadjaran waoe.
gangtar mikpa déshyin nyi dou min,hin,0.9887953,zul,Concert Ukulele in Nat Satin Read more
εἰδὼς δὲ ὁ Ἰησοῦς ἐν ἑαυτῷ ὅτι γογγύζουσιν περὶ τούτου οἱ μαθηταὶ αὐτοῦ εἶπεν αὐτοῖς· Τοῦτο ὑμᾶς σκανδαλίζει;,que,0.98748267,scn,amaru cu sia fa supraniari …………..lustru di paradisu nun nni vidi
Iye alonga tenepa : Pyalembwa M'bukhu ya Mulungu kuti : “ Nyumba yanga inadza kakhala nyumba ya kuphembera . ” Mbwenye imwe mwaisanduza kuti ikhale mbuto ya kubisalira mambava .,hau,0.987104,xho,Xa FAQ yethu siye sachaza ukuba zokulanda zethu anikwe 8080 port endaweni uyezibuko 80. Ngoko ke  le ndlela simpliest ukwazi ukuba uthotho lwakho 8080 ivaliwe ngenxa firewall lwakho ukuzama ukulayisha into evela Simviation.com  kutheni? Ngenxa simviation usebenzise isibuko efanayo zokulanda zabo  ngoko ukuba ayisebenzi ne simviation kunye Rikoooo ngoko ke qiniseka 100%  firewall yakho ukuvala 8080 port. Kufuneka uvule izibuko 8080 TCP / UDP ngokudibanisa umthetho ibe firewall yakho.
Por ena prej balte në të cilën është pjekur do të thyhet ; dhe në rast se është pjekur në një enë prej bronzi   kjo do të fërkohet mirë dhe do të shpëlahet me ujë .,aka,0.9866089,haw,ʻAʻohe puʻu kālā kālepa Casino ma Belarus
CoverCradle 72570 Replacement Prolift III Pivot Assembly Right SideVLIES FOTOTAPETEN WANDTAPETEN WANDBILDER DEKORATIV KN-4504,hbs,0.9862596,srp,Bila sam u Jerusalimu i Rimu u Kelnu i i Santjagu de Komposteli.
Τραυμα- τίσθηκα γι'αυτό! Το αίμα έτρεχε από το στήθος μου και σ'άκουσα!,jav,0.9861222,ban,Ponsel ini rencananya akan diluncurkan pada 24 September ini.
¡Yuj wal tyoxh ayex yuj hemulnajil  maj tanaj ha’ snuq’a’! Heb’ kajwom b’ay Witzlan tzalojk’ulal ayek’ heb’ yuj watx’ max yun yelok smulnajil heb’.,jav,0.9859402,pam,Pangeran Djakalan  kang sinebat  Pangeran Sedanglaoetan  kang sirane hing Moendoe lan Iboeneki  Rarapi pon ning  kana  boja wonten tadakaning woeri  doepi kang mrenah hing tedakanira  poenika kang mijos  saking Padjadjaran waoe.
Alaska business directory is a complete directory of businesses in alaska.we offer a list of companies,yue,0.9855871,zho,宁波东洲传动件有限公司-新闻中心
Leson 1Olketa blakbed fidim ElaejaStori long Baebol,hif,0.98437774,tgk,«Пойтахт» бизнес маркази бизнес-музокаралар  конференциялар ва тақдимотларни ўтказиш учун жуда мос келади. Компаниямиз ушбу кўп қаватли бинода қулай шароит яратиш учун яхшигина тер тўкди. [ads_hr hr_style=»hr-solid»] «Пойтахт» бизнес-маркази пойтахтдаги энг муҳим бизнес объектларидан биридир. Бу 12-қаватли кўркам бино Мустақиллик майдони ёнгинасида қурилгандир. Бизнес марказининг инфратузилмасида офислар  кўп мақсадли конференц-заллар  меҳмонхона  ресторан  тренажер зали  фитнесс клуби  […]
Mes origines sont issues d'une galaxie très très lointaine...,grn,0.984218,gug,Pejerure Tupãme ani haguã ojehu peẽme ko'ã mba'e ro'y jave .
Apa perbedaan kedua status proses portofolio DYS tersebut? 2).,tat,0.9837594,bak,Һырттың атамаһы Ҡырым татарҙары теленән туранан-тура тәржемәләгәндә тау түбәһе  ә мәғәнәһе буйынса тауҙар тамамланған урын тигәнде аңлата.
Dugang pa  ang live betting bahin midugang ang usa ka gamay sa kahinam nga nagtan-aw sa duwa sa TV.,deu,0.98364717,kat,REEC: 1.ACCURL ყოველთვის უზრუნველყოფს მაღალხარისხიან მანქანას  როგორც ვიცით  უცხოური ბაზარი უფრო ძნელია და ძნელია  ვიდრე შიდა ბაზარზე  რადგან გაყიდვების შემდეგ ფასების ზრდის გამო  ასე რომ  ყოველთვის  ჩვენი მანქანა აქვს საკმარისი ხარისხის სტანდარტი იმისათვის  ვიდრე რეალური გარანტიის პერიოდი. ამ გზით  ჩვენ გადავარჩენთ ბევრს და წინასწარ ვფიქრობ კლიენტებს.
JM de Guzman  malamyang kumanta Gretchen  nakakagulat ang award SUMABAK ng kanta­han ang pandak na aktor sa kaapelyido niyang si Edgar Allan Guzman sa Zirkoh Morato sa pag-aakalang mapapataob niya ito.,que,0.9833778,quy,Turquia allpan 37 suyuntinpi aswan hatunta qawarichispa kay teqsimuyuntinpi hinaqa yaqapas Francia llaqta hina sayayninpi hinallataq reino unido nisqawanpas.
-مي خواستم ببينم با کي بايد صحبت کنم؟,hin,0.98133504,zul,Concert Ukulele in Nat Satin Read more
Herfanê Alfabeyê Ewıstki de hem nuştışê İranio kıhan ra u hem zi alfabeyê Greki ra herfi estê.,bew,0.98043686,bel,А на яблыкі ў мяне алергія.
Modo -mode -- como qomode -- (a alga modo) unomode -- (tal) ucimode -- (tota modo) totamode -- (no modo) > a no mode,slk,0.9787202,ces,Seš prolhaná coura  která nemá ani pětník.
هي تمام نازڪ ۽ سهڻا ٿيندا آهن.,swc,0.9771427,swh,Mashabiki walijaribu kuinusuru tamthilia bila mafanikio.
John Ray Grisham  Jr. born February 8  1955  is an American bestselling writer  attorney  politician  and activist best known for his popular legal thrillers. His books have been,dan,0.9768996,nor,Men velg relevante hashtags og ikke altfor mange.
Pejerure Tupãme ani haguã ojehu peẽme ko'ã mba'e ro'y jave .,fry,0.9760247,lim,De latex weurt vervolges gefilterd en verdónd mit water.
पावसाळ्यात सह्याद्रीच्या अनेक परिसरात या दिसतात.,bew,0.97592807,bel,А на яблыкі ў мяне алергія.
Paljud riigid  eriti need  kellel on palju sajandeid ajalugu kasutada mitmetasandilist kohalikku valitsust  ei kasuta inkorporeerimata ala mõistet.,ltz,0.9744766,mlt,Skont dan it-trattat  iċ-Ċina sofriet tbatija ekonomika u telf serju ta 'sovranità.
Ere gima oparo ka owacho ni  ‘Kinde matin’? Ok wang’eyo gima owacho!”,por,0.9717087,kea,Kel propi karu tradu di lugar di asidenti aprosimadamenti 12:00 GMT na mésmu dia.
Ningbo Beilun Yongxu Plastic Kev lag luam thiab Trade Co.  Ltd. yog ib tug kws tsim tshuaj paus ntawm yas PP chaw ua hauj lwm ntawv sau  cov menyuam kawm ntawv sau  khoom plig ntim  PP los xij  chaw ua hauj lwm kab lis kev cai thiab kev kawm ntawv cov khoom. Lub tuam txhab yog situated nyob rau hauv Beilun District  Ningbo City  ib tug zoo nkauj nqaum nroog nrog co ...Nyeem ntxiv »,nld,0.9716025,vls,Hooiwoagns eetn surtout insectn en andere klêene bêestjes  moar ook plantnmaterioal.
Jo'can nak laj Saúl quixtakla xbokbal laj Ahimelec laj tij ut chixjunileb li rech'alal li neque'c'anjelac chok' aj tij aran Nob . Ut chixjunileb que'cuulac riq'uin li rey .,bzj,0.96917915,mon,ugii wrote on 8 January  2012  0:59 kk naadah chin chamd hairgui l yum bn shde tegeel boloo oor yum bhgui  hoiguur chin durtai zuilee hiij yawaa.
odatdagiday ishlatiladi. Biz litsenziya bergan 14 ta fabrikadagi odatdagi uskunalar va asboblar bilan ishlanadi.,srp,0.9682472,bos,Ne idu. I to je dobro.
Pemomaitei umi pende aty sãmbyhyhárape ha opa umi Tupã mba'évape . Italiagua kuéra oguerahauka peẽme maitei .,spa,0.96764284,cat,«CASA entregará en enero a los checos el primero de cuatro aviones C-295» (en español). es.biz.Yahoo.com  08-10-2009.
Wasu masana na ganin cewa  Sakkwatanci karin harshe ne na mulki.,spa,0.96758187,cbk,"In 1994  Eddie Garcia starred in a film biography of Climaco  ""Mayor Cesar Climaco""  produced by Seiko Films."
Amyenzaɣ yellan gar Sami d Layla yella yeǧhed aṭas.,nbl,0.9673506,nde,*** Liyememetheka igciwane leCOVID-19 eZimbabwe okulabantu asebesedlula ikhulu lamatshumi amahlanu asebebulewe ngumkhuhlane weCoronavirus.
Haka kuma an yi gobarar a kasuwar 'Marche Congo' da ke birnin Douala na Kamaru. Kasuwanni da dama a Nigeria  a birane irinsu Kano da Bauchi da Katsina da Maiduguri da kuma Anatcha ma wutar ta shafe su.,diq,0.9668714,szl,Kalamata (nowogrecko godka Καλαμάτα) - mjasto we Grecyji  we regijůńe Pelopůnez.
Lutatu  mbualu neje utu ukuata ni muikale dijinga ni tshintu tshidi mua kuenza bua akuluke  tshitupa tsha neje tshidi tshikuluka tshidi mua kukulula mikuabu.,tur,0.9640909,uzb,investitsiya va sanoat siyosati strategiyalarini ishlab chiqish sohasida ilg ‘ or xalqaro tajribani o ‘ rganish va tatbiq etish   shuningdek vazirlikka yuklatilgan boshqa vazifalar va topshiriqlarni bajarish ;
Teaghlach ag Lá Oscailte an Earraigh in OÉ Gaillimh Táthar ag súil le breis agus 3 000 duine agus a dtuismitheoirí as gach contae in Éirinn freastal ar Lá Oscailte an Earraigh in OÉ Gaillimh Dé Sathairn  an 28 Aibreán.,srp,0.96379673,hrv,Reci mami da kupi novi kupaći.
Staggering” Bhraitheamar go bhfuil JavaScript díchumasaithe i do bhrabhsálaí.,swa,0.96282643,swc,Mashahidi walisema kwamba waliona Dan karibu fasi yote ndani ya muji.
Pamwepo mataka yambaberekesa pomwe mbeu ire yokha-yokha . ambayamba ni nyakamera   zicibwera ngala-ngala   pambuyo pace bzisapo mungala-ngala mule bzimbakhuma .,yue,0.96189946,wuu,圣雅各之路或圣地亚哥朝圣之路（西班牙语：El Camino de Santiago）
ብመንፅር እዚ እቲ ክልል ንኩባንያታት ምቕፃዕ ጥራሕ ዘይኮነስ ስነ ምግባር ንዘኽብሩን፤ ኬሚካልን ርስሓትን ኣብ ምውጋድን ድሕንነት ሓይሊ ሰብ ኣብ ምሕላውን ንዝንቀሳቐሱ እውን ሽልማት ሜዳልያ ወርቂ፣ ብሩርን ንሓስን ክህብ እዩ።,ber,0.96160144,kab,Wissen iwacu ur d-teddimem ara aḥeddur.
अस्याः शब्दाः अधिकतया संस्कृतशब्दाः एव ।,spa,0.9613801,glg,A información deste ficheiro está incompleta.
O‘zbekiston Respublikasi Prezidentining «O‘zbekiston Respublikasi Qurolli Kuchlari safida muddatli harbiy xizmatni o‘tab bo‘lgan fuqarolarga imtiyozlar tizimini takomillashtirishga oid qo‘shimcha chora-tadbirlari to‘g‘risida» 2012 yil 31 maydagi PQ–1765-son qarori shular jumlasidandir.,kin,0.9613153,run,Bimwe muvyaranguwe mu bushikiranganji bw’ibidukikije vyashizwe ahabona Amafaranga agera ku bice 99 kw’ijana n’iyo yakoreshejwe mu mwaka w’2013 ku mafaranga yaragenewe gukoreshwa n’ubushikiranganji bw’amazi  ibidukikije ..
Łączé (pòl. Łąkie) - to je kaszëbskô wies w pòmòrsczim wòjewództwie  w bëtowsczim krézu  w gminie Stëdzéńce.,dtp,0.959601,nnb,E ngeresere moyatulika vusana no vulito.
Buku tersebut sebenarnya tak secara khusus membahas Islam.,yue,0.9560812,lzh,萬曆三十六年——天主教傳入上海。
Gaio Giulio Cesare Ottavian Aogusto (lat. C. Octavius; doppo l'adoçion da parte de Cesare: C. Iulius Caesar Octavianus; da-o 27 a.C. o nomme ófiçiâ o l'è Imp. Caesar Augustus). - primmo imperatô roman (Romma 63 a.C. - Nola 14 d.C.).,nde,0.9555382,nbl,Yakha Abarholi Bendawo Neenkutani Ze-CBNRM. Hlukanisela abantu umsebenzi bese utjhiya nendawo yabarholi bendawo abasakhulako kobanyana nabo bazokuthola ithuba lokuziveza.
Abgestoßen würden vor allem Tracker großer Indizes.,hau,0.9552675,som,نداء عاجل من قطر إلى السعودية والإمارات والبحرين ومصر !!!
Tamien se llama mari a tola massa d'áugua salá que s'esperria pola mayol parti el Praneta Tierra  encluyendu océanus i maris menoris. Mesmaenti se llama mari a sítius de bañu  que a deferéncia de la praya no tien paseu marítimu.,als,0.9507665,sqi,Ne fakt sa e lëshova telefonin me të.
Hvordan lyden klart i en mikrofon,kjb,0.95024115,quc,E k'ia winaq e b'enaq pa ri tinimit Jerusalén che ri nimaq'ij Pascua . Chukab' q'ij xkito chi ri Jesús kopan na pa ri tinimit .
Nangipaay ni Josias iti nagsayaat nga ulidan iti panagdayaw ken Jehova.,ind,0.9501875,ban,Ponsel ini rencananya akan diluncurkan pada 24 September ini.
Do American families spend their free time together?,kac,0.9481202,lus,CCPur: Post Office  Tuibuong­a Core Banking thawna ding le inzawmin Milan  System Manager  Imphal chu April 18  2016 khin CCPur­a hungin Post Office enfel a ta  core banking thawna dingin system tum tum upgrade thawng a tih. Core banking hmang a ni huna tuta account tum tum hai Number khawm thleng vawng ni dingin ei thu dawngna chun a hril.
An Ibituruna amo in usa ka munisipalidad ha estado han Minas Gerais han Brasil.,hrx,0.94797456,gsw,Dè grooß Dampfdom isch uff èm hinterè Kesselschuss gsässè.
Dựa trên số lượng đặt hàng  thông thường phải mất 20 ngày để sản xuất.,ara,0.9479662,hau,ﻛﺎﻥ ﺍﻟﻨﺒﻲ ﺻﻠﻰ ﺍﻟﻠﻪ ﻋﻠﻴﻪ ﻭﺳﻠﻢ ﻳﺴﺄﻝ ﻳﻮﻡ ﺍﻟﻨﺤﺮ
